tconst,title,startYear,endYear,runtime,genres,avgRating,numVotes,Rating,Summary,ReleaseDate,Genre,Language,Poster
tt8809646,College Romance,2018,2023,30,Comedy Drama Romance,8.3,28818,,"Three best friends look for love, laughs and some lifelong memories while attending college together.","Release dateOctober 1, 2019 (United States)",,Hindi,"https://m.media-amazon.com/images/M/MV5BNDlkNzI2MWUtYTkyOS00MTkxLTg0YzctZmQwNjExYjQzOTc1XkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt10826054,Masters of the Universe: Revelation,2021,2021,25,Action Adventure Animation,5.6,28659,,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Release dateJuly 23, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMjRkNmE0NTYtN2IzNi00MzFiLTgzMDMtYjU0OTUyMzM4Njc2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt9735318,The Beatles: Get Back,2021,2021,156,Biography Documentary Music,8.9,28623,,"In January 1969, The Beatles set out to write and record new songs for their first live show in more than two years, culminating in an impromptu concert atop their Savile Row studio.","Release dateNovember 25, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNjMxMjE5ZTEtMjgyOC00ODM4LWJjZDAtMjcwZDBlNzZhZTkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0760437,Ben 10,2005,2008,30,Action Adventure Animation,7.5,28555,,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien ... Read all","Release dateDecember 27, 2005 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BZjg2ZjViMTktNWQ1Yy00ODZiLWE1OTgtNDY3MjI0OGUyNjNhXkEyXkFqcGdeQXVyNTk4NDI4NTE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt1888075,Death in Paradise,2011,\N,60,Comedy Crime Drama,7.8,28502,,Cultures collide when British Detective Inspector is transferred from England to the Caribbean island of Saint Marie to head the island's police department.,"Release dateOctober 25, 2011 (United States)",,EnglishFrenchSpanish,"https://m.media-amazon.com/images/M/MV5BMTc5OTc3MjAwN15BMl5BanBnXkFtZTgwODAxMDQyMTE@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt1236246,Runaways,2017,2019,60,Action Drama Sci-Fi,6.8,28492,,"After discovering a dark secret about their parents, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets ... Read all","Release dateNovember 21, 2017 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMTVhNmMyNDEtM2Q0NC00MWJiLTkyY2YtYTM3NmVjM2FjNTg5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt1528406,Fairy Tail,2009,2019,24,Action Adventure Animation,7.9,28433,,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.","Release dateSeptember 30, 2011 (United States)",,Japanese,"https://m.media-amazon.com/images/M/MV5BMzZjNmRhNWQtNTAyYy00Yjk2LWE0NzUtMmYyNTU0YTE5NjJiXkEyXkFqcGdeQXVyNjI4OTE5OTM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
tt11212276,The Sex Lives of College Girls,2021,\N,27,Comedy,7.8,28410,,"Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating.","Release dateNovember 18, 2021 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMGViNmZmYzItOTUzMS00NTBiLWJkNmEtYWU2Mzg1OTBkMGY5XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg"
tt0126170,Recess,1997,2001,23,Adventure Animation Comedy,7.8,28403,,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority.","Release dateAugust 31, 1997 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMThkNmIxNzAtM2Q3OC00ZjIxLWE1MjMtZjQxODRhZjU5ZTFkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt3228420,You're the Worst,2014,2019,30,Comedy Drama Romance,8.1,28355,,"Centers on two toxic, self-destructive people who fall in love and attempt a relationship.","Release dateJuly 17, 2014 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMTU4OTM5OTM2NV5BMl5BanBnXkFtZTgwNDc3MDg0MzI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
